state = {
	id = 25
	name = "STATE_25"
	provinces = {
		54
		59
		64
		98
		100
		117
		118
		125
		163
		168
		215
		294
		309
		314
		370
		396
		505
		612
		618
		625
		630
		636
		658
		726
		767
		779
		978
		1002
		1027
		1032
		1049
		1057
		1067
		1100
		1107
		1118
		1160
		1211
		1239
		1243
		1253
		1256
		1278
		1293
		1327
		1377
		1423
		1428
		1490
		1526
		1529
		1543
		1567
		1635
		1663
		1667
		1720
		1721
		1755
		1808
		1809
		1824
		1831
		1837
		1838
		1852
		1864
		1889
		1917
		1925
		1966
		1999
		2007
		2046
		2268
		2281
		2289
		2294
		2302
		2303
		2322
		2324
		2329
	}
	buildings_max_level_factor = 1
	manpower = 88157
	state_category = town
	history = {
		owner = SOV
		add_core_of = SOV
	}
}
